Идентификатор,Номер участка железной дороги,Наименование,Тип участка
1,23,ТОКИБАЙ (РЗД) - ЕКИБАСТУЗ III,1
2,24,ЕКИБАСТУЗ I - ОБГ. ПУНКТ № 116,1
3,95,ЕКИБАСТУЗ II - ЕКИБАСТУЗ-СЕВЕРНЫЙ II,1
4,96,БОРЖАКТЫ - КУРЫК-ПОРТ (ЭКСП.),1
5,100,ПОСТ А - ПОСТ ЛЕВЫЙ ИРТЫШ,1
6,101,ПУТ. ПОСТ 1502 КМ - ПУТ. ПОСТ 3754 КМ,1
7,80,ШАР - НОВОУСТЬКАМЕНОГОРСК,1
8,67,ЛОКОТЬ - ЗЫРЯНОВСК,1
9,55,ТАРАЗ - ЖАНАТАС,1
10,58,АКТАУТАС - БУГУНЬ,1
11,88,ЖЕТЫГЕН - АЛТЫНКОЛЬ (ЭКСП.),1
12,59,БЕРЛИК I - АКТОГАЙ,1
13,64,АКТОГАЙ - ДОСТЫК (ЭКСП.),1
14,87,СЕМЕЙ - СЕМЕЙ-ГРУЗОВОЙ,1
15,72,АКСУ II - ДЕГЕЛЕН,1
16,65,ЖАНА-СЕМЕЙ - ДЕГЕЛЕН,1
17,60,АКТОГАЙ - ЛОКОТЬ (ЭКСП. НА РУБЦОВСК),1
18,57,АКТОГАЙ - САЯК,1
19,84,НИКЕЛЬТАУ - АЛИМБЕТ (ЭКСП.),1
20,83,ТОБОЛ - ЕЛИМАЙ (ОБП) (ЭКСП.),1
21,17,ТОБОЛ - ЕСИЛЬ,1
22,19,ЕСИЛЬ - АРКАЛЫК,1
23,79,НИКЕЛЬТАУ - ТОБОЛ,1
24,12,КОСТАНАЙ - ТОБОЛ,1
25,63,КАРАБУЛАК - ТАЛДЫКОРГАН,1
26,62,КОКСУ - ТЕКЕЛИ,1
27,78,МАКТААРАЛ (ЭКСП.) - ЖЕТЫСАЙ,1
28,50,АРЫС 1 - САРЫАГАШ (ЭКСП.),1
29,51,АРЫС 1 - ТУРКСИБ,1
30,69,МОЙЫНТЫ - БЕРЛИК I,1
31,52,ТУРКСИБ - БЕРЛИК I,1
32,70,КИЯХТЫ - КУРМАНГАЗЫ,1
