Идентификатор,Код станции,Наименование станции,Признак станции,Условные обозначения проводимых коммерческих операций
1,710507,Нурлы жол,10,П Г
2,660613,Разъезд 174 км,20,О
3,661103,Макат,11,"П 1,3,4,9"
4,662002,Дины Нурпеисовой (рзд) (эксп.),11,
5,662411,Ост. пункт 40 км ПК 6,20,Х
6,662801,Бейнеу,11,"П 1,3"
7,662905,Оазис (рзд) (эксп.),11,Х
8,663306,Мангистау,11,"П 1,2,3,5,8,8н,9,10н"
9,663503,Актау-Порт,11,"1,3,5,8"
10,663607,Каракия,10,"Б 1,3"
11,663700,Жетыбай,10,"Б 1,3"
12,663908,Жанаозен,10,"П 1,2,3,5,9"
13,663912,Бастау (рзд),10,О
14,663927,Акбобек (рзд),10,О
15,664506,Бопай,10,Б 1
16,664510,Тайгыр (рзд),10,О
17,664525,Курмаш (рзд),10,О
18,664533,Бестортколь (рзд),10,О
19,664600,Болашак,10,Б 1
20,664703,Болашак (эксп.),11,
21,664900,Семиглавый Мар (эксп.),11,
22,665000,Семиглавый Мар,10,"Б 1,3,4"
23,665015,Ост. пункт 1177 км,20,Х
24,665053,Вавилино,10,Б
25,665104,Таскала,10,"Б 1,2,3,4,8н,9,10н"
26,665119,Родники (рзд),10,О
27,665123,Ост. пункт 1228 км,20,Х
28,665208,Деркул,10,"Б 1,3"
29,665301,Переметная,10,"Б 1,3,4,8н,9,10н"
30,665316,Ост. пункт 1257 км,20,Х
31,665405,Белес (рзд),10,"Б 1,3,4,8н,10н"
32,667909,Кардон,10,О 3
33,665509,Орал-Товарная,10,О 3
34,665602,Орал,10,"П 1,3,4,8н,10н"
35,665903,Кудыксай (рзд),10,О 3
36,666003,Жилаево,10,"О 1,2,3,5,8,8н,9,10н"
37,666107,Пойма,10,"Б 3,8н,10н"
38,666111,Колузаново (рзд),10,О
39,666200,Жайык,10,"Б 1,3,9"
40,666215,Ост. пункт 1338 км,20,О
41,666220,Таксай (рзд),10,О
42,666304,Алгабас,10,"Б 1,3"
43,660007,Кандыагаш,11,"П 1,3,4"
44,670121,Кумсагыз,20,О
45,670136,Кунту,10,О
46,670140,Ширганак,20,О
47,670206,Шомиш,10,Б 3
48,670309,Арал Тенизи,10,"П 1,2,3,4,5,8н,9,10н"
49,670314,Ост. пункт 2378 км ПК 7,20,О
50,670329,Ост. пункт 2387 км,20,О
51,670333,Сапак,10,О
52,670352,Аралкум,10,Б
53,670371,Сарбеткей,20,О
54,670403,Камыстыбас,10,Б 3
55,670418,Укилисай,20,О
56,670437,Бекбауыл,10,Б
57,670507,Казалы,10,"П 1,2,3,4,9"
58,670511,Уинди (рзд),10,О
59,670526,Кобек,10,О
60,670530,Майлыбас,10,О
61,670545,Енбекшиказах (рзд),10,О
62,670579,Бостандык (рзд),10,О
63,670583,Акжар (рзд),10,О
64,670600,Торетам,10,"П 1,2,3,4,5,6,8,8н,9,10н"
65,670615,Дирментобе,10,О
66,670634,Коркыт,10,О
67,670704,Ордазы (рзд),10,О 3
68,670808,Байкожа,10,О 3
69,670901,Жосалы,10,"Б 1,2,3,4,9"
70,670916,Анаколь (рзд),10,О
71,670920,Абыла,20,О
72,670935,Кызылтам,10,О
73,670954,Каракеткен,10,О
74,670973,Караирим (рзд),10,О
75,671406,Жалагаш,10,"Б 1,3,4,9"
76,671504,Теренозек,10,"Б 1,3,4"
77,671529,Айтек,20,О
78,671533,Караозек,10,О
79,671707,Кызылорда,10,"П 1,2,3,4,5,8,8н,9,10н,11н"
80,671800,Белкол,10,"О 3,8н,10н"
81,671823,Бирказан,10,О
82,671834,Разъезд № 14,10,О
83,671849,Керкелмес (рзд),10,О
84,671904,Сулутобе,10,О 3
85,671919,Разъезд № 16,10,О
86,671923,Майлытогай (рзд),10,О
87,672004,Тартогай,10,"О 1,3,4"
88,672019,Бактысай (рзд),10,О
89,672108,Байгакум,10,"О 1,3,4"
90,672112,Разъезд № 20,10,О
91,672201,Шиели,10,"П 1,2,3,4,8н,9,10н"
92,672216,Акмая (рзд),10,О
93,672220,Екпинди (рзд),10,О
94,672305,Жетитобе,10,"О 3,8н,10н"
95,672409,Томенарык,10,Б 3
96,672413,Боритескен (рзд),10,О
97,672428,Жайылма (рзд),10,О
98,672502,Жанакорган,10,"Б 1,3,4,9"
99,672521,Боройнак (рзд),10,О
100,672536,Аккум,10,О
101,672606,Талап,10,О 3
102,672700,Бесарык,10,О 3
103,672729,Ост. пункт 3067 км ПК 5,20,О
104,672733,Сауран,10,О
105,672803,Шорнак,10,О 3
106,673007,Караганда-Сортировочная,11,"Б 1,3"
107,673124,Паровозное Депо,20,О
108,673149,Обг. пункт 713 км,10,О
109,673204,Нура,10,"Б 1,3"
110,673219,Первое Мая,20,О
111,673223,Кокпекты,10,Б
112,673308,Мырза,10,Б 3
113,673401,Шокай,10,"Б 1,3"
114,673416,Актау,20,О
115,673420,Астаховка,20,О
116,673505,Актасты,10,Б 3
117,673609,Сарыбел,10,"Б 1,3"
118,673702,Жана Караганды,10,"Б 3,8н,10н"
119,673806,Майкудык,10,"О 3,8н,10н"
120,673905,Караганды,11,"П 1,2,3,5,8,8н,9,10н"
121,674000,Караганда-Угольная,10,О 3
122,674103,Жанааул,10,"О 3,6,8н,10н"
123,674122,Аккудык,10,О
124,674141,Соцгородок,20,О
125,674207,Тегисжол,10,3
126,674300,Темиртау,10,"П 1,3"
127,674404,Углерудная,10,3
128,674508,Сокыр,10,"3,8н,10н"
129,674601,Пост № 5,10,3
130,674705,Ботакара,10,3
131,674902,Ащысу,10,"1,3"
132,675002,Буркитты,10,"О 1,3,8н,10н"
133,675125,Ортас (пп),10,О
134,675206,Карагайлы,10,"Б 1,3"
135,675303,Караганозек,10,О 3
136,675407,Карабас,10,Б 3
137,675411,Чурбай-Нура,20,О
138,675500,Топар,10,О 3
139,675708,Кулайгыр,10,Б 3
140,675731,Бурма,20,О
141,675801,Карамурын,10,О 3
142,675905,Жарык,11,"Б 1,2,3,9"
143,666319,Ост. пункт 1370 км,20,Х
144,666323,Ангаты (рзд),10,О
145,666338,Гугня (рзд),10,О
146,666342,Пепел (рзд),10,О
147,666408,Казахстан,10,"П 1,2,3,8н,9,10н"
148,666412,Жаркий (рзд),10,О
149,666427,Сулусай (рзд),10,О
150,666501,Илецк I (эксп.),11,
151,666605,Амангельды,10,"Б 1,3"
152,666624,Тузово,10,О
153,666639,Ост. пункт 1473 км,20,О
154,666709,Шынгырлау,10,"Б 1,2,3,9"
155,666713,Уютный (рзд),10,Б
156,666732,Базырово (рзд),10,Б
157,666802,Цвилинга,10,"Б 1,3"
158,666821,Денной (рзд),10,О
159,666906,Илецк I,10,"П 1,2,3,4,5,9"
160,690708,Косшокы,10,"О 3,7"
161,667928,Жангиз-Агач,20,О
162,668009,Сарысай (рзд),10,О 3
163,668206,Хромтау,10,Б 1
164,668600,Никельтау,11,Б 1
165,668704,Дон,10,"Б 1,2,3,6,8н,9,10н"
166,668901,Аккудык,10,"О 1,3"
167,668916,Жоса (рзд),10,О
168,668935,Уйтас (рзд),10,О
169,669105,Айтеке Би,10,"Б 1,3"
170,669209,Кемпирсай,10,О 3
171,669410,Красномадьярский,20,О
172,669745,Ост. пункт № 64,20,Х
173,669815,Ост. пункт № 65,20,Х
174,669826,Кок-Бек,20,О
175,669849,Буйректобе,20,О
176,669904,Шалкар,11,"П 1,2,3,4,9"
177,669923,Копотай,20,О
178,669957,Кособа,20,Х
179,669980,Шенды,20,Х
180,670028,Чагар,20,О
181,670066,Заря Востока,20,Х
182,670085,Сарыулек,20,О
183,670102,Сексеул,11,"П 1,3,4"
184,670117,Ост. пункт 2329 км,20,О
185,683418,Талдыколь (рзд),10,О
186,683507,Перелески,10,Б 3
187,683600,Денисовка,10,"Б 1,3,8н,10н"
188,683687,Ост. пункт 466 км,20,О
189,683808,Житикара,10,"П 1,2,3,8н,9,10н"
190,683901,Железорудная,10,"П 3,8н,10н"
191,683916,Темирбулак,10,О
192,684001,Костанай,11,"П 3,5,6,8,8н,9,10н"
193,684054,Танабаевский,20,Х
194,684116,Теренсай (рзд),10,О
195,684317,Нурдала,10,Х
196,684213,Майкульская,20,О
197,684228,Кызылсай (рзд),10,О
198,684302,Озерная,10,"О 1,3,4"
199,684406,Успеновка,10,"О 3,8н,10н"
200,684501,Разъезд 219 км,10,Х
201,684603,Джаркуль,10,"П 1,3,4,8н,10н"
202,684707,Пешковский Тупик,10,"О 3,8н,10н"
203,684800,Тогузак,10,"П 1,3,4,8н,10н"
204,684815,Селекционная,10,Б
205,684904,Карабалык,10,О 3
206,685004,Щебзавод,10,3
207,685108,Медет,10,О 3
208,685112,Ост. пункт 138 км,20,Х
209,685201,Каерак,10,Б 3
210,685311,Жанасу,20,О
211,684529,Ост. пункт 199 км ПК 10,20,О
212,685707,Жана-Есиль,11,"Б 3,8н,10н"
213,685803,Зерновая (эксп.),11,
214,686517,Шукуркуль,20,О
215,687008,Кокшетау I,11,"П 3,5,8,8н,10н"
