Идентификатор,Код,Наименование,Тип коррекции,Дата начала действия,Дата конца действия,Время обновления
1,1,Основной тарифный участок,U,01.12.2012,31.12.9999,03.12.2012 13:46
2,2,Малодеятельный,U,01.12.2012,31.12.9999,03.12.2012 13:46
3,3,Соединительная линия,U,01.12.2012,31.12.9999,03.12.2012 13:46
4,4,Для пассажирского движения,U,01.12.2012,31.12.9999,03.12.2012 13:46
5,5,Узкая колея,U,01.12.2012,31.12.9999,03.12.2012 13:46
6,6,Кольцевая линия,U,01.12.2012,31.12.9999,03.12.2012 13:46
7,7,Строящиеся линии,U,01.12.2012,31.12.9999,03.12.2012 13:46
8,8,Для местного сообщения,U,01.12.2012,31.12.9999,03.12.2012 13:46
9,9,Линии Санкт-Петербургского узла,U,10.06.2020,31.12.9999,10.06.2020 10:55
10,10,Линии Московского узла,I,11.06.2020,31.12.9999,11.06.2020 15:40
