Идентификатор,Номер участка железной дороги,Код первой узловой станции,Код второй узловой станции,Код третьей узловой станции,Время обновления,Тип коррекции,Дата начала действия
1,23,695010,694906,695006,28.03.2019 12:00,U,01.11.2012
2,24,694605,694516,696102,28.03.2019 12:00,U,01.11.2012
3,95,694709,694304,0,28.03.2019 12:00,U,15.01.2016
4,96,689804,693602,0,07.09.2023 09:26,U,08.09.2023
5,100,709618,709622,0,28.03.2019 12:00,U,27.03.2017
6,101,704718,703196,0,28.03.2019 12:00,U,13.08.2017
7,80,709105,713806,0,03.06.2022 13:25,U,03.06.2022
8,67,711302,714601,0,28.03.2019 12:00,U,01.11.2012
9,55,706304,706408,0,28.03.2019 12:00,U,15.01.2018
10,58,706431,706501,0,28.03.2019 12:00,U,01.11.2012
11,88,700505,707701,0,28.03.2019 12:00,U,01.11.2012
12,59,704703,708009,0,28.03.2019 12:00,U,01.11.2012
13,64,708009,708507,0,28.03.2019 12:00,U,01.11.2012
14,87,709406,709508,0,28.03.2019 12:00,U,15.01.2018
15,72,695805,709707,0,28.03.2019 12:00,U,01.11.2012
16,65,709302,709707,0,28.03.2019 12:00,U,01.11.2012
17,60,708009,711105,0,28.03.2019 12:00,U,01.11.2012
18,57,708009,677703,0,28.03.2019 12:00,U,01.11.2012
19,84,668600,678405,0,28.03.2019 12:00,U,01.06.2018
20,83,683102,679107,0,28.03.2019 12:00,U,01.06.2018
21,17,683102,680000,0,28.03.2019 12:00,U,01.11.2012
22,19,680000,681408,0,28.03.2019 12:00,U,01.11.2012
23,79,668600,683102,0,28.03.2019 12:00,U,01.11.2012
24,12,684001,683102,0,28.03.2019 12:00,U,15.01.2018
25,63,701705,701809,0,28.03.2019 12:00,U,15.01.2018
26,62,701508,701902,0,28.03.2019 12:00,U,01.11.2012
27,78,702905,704008,0,28.03.2019 12:00,U,01.06.2018
28,50,698004,704101,0,28.03.2019 12:00,U,01.06.2018
29,51,698004,704402,0,05.08.2021 11:26,U,11.06.2021
30,69,677309,704703,0,28.03.2019 12:00,U,01.11.2012
31,52,704506,704703,0,05.08.2021 11:28,U,11.06.2021
32,70,705208,705000,0,28.03.2019 12:00,U,01.11.2012
33,71,705208,705104,0,28.03.2019 12:00,U,01.11.2012
34,22,693405,694107,0,28.03.2019 12:00,U,15.01.2018
35,21,695006,695203,0,28.03.2019 12:00,U,01.11.2012
36,26,695519,695805,0,28.03.2019 12:00,U,01.11.2012
37,27,696102,696206,0,28.03.2019 12:00,U,01.11.2012
38,28,696102,696403,0,28.03.2019 12:00,U,01.11.2012
39,29,696901,697209,0,28.03.2019 12:00,U,01.11.2012
40,20,690200,697509,0,28.03.2019 12:00,U,01.11.2012
41,4,660007,697800,0,28.03.2019 12:00,U,01.11.2012
42,49,697800,698004,0,28.03.2019 12:00,U,01.06.2018
43,53,698606,699007,0,28.03.2019 12:00,U,15.01.2018
44,54,698704,699100,0,28.03.2019 12:00,U,01.11.2012
45,104,698606,699204,0,28.03.2019 12:00,U,15.05.2018
