Идентификатор,Номер участка железной дороги,Код станции,Код первой узловой станции,Расстояние до первого узла (км),Код второй узловой станции,Расстояние до второго узла (км),Код третьей узловой станции,Расстояние до третьего узла (км),Время обновления,Тип коррекции,Дата начала действия
1,45,677972,677309,304,677703,34,0,0,04.12.2017 12:41,I,27.11.2017
2,35,673365,690500,119,675905,148,0,0,04.12.2017 10:31,I,27.11.2017
3,35,673721,690500,136,675905,131,0,0,04.12.2017 10:31,I,27.11.2017
4,35,673740,690500,138,675905,129,0,0,04.12.2017 10:31,I,27.11.2017
5,35,675322,690500,157,675905,110,0,0,04.12.2017 10:31,I,27.11.2017
6,35,675337,690500,159,675905,108,0,0,04.12.2017 10:31,I,27.11.2017
7,35,675341,690500,161,675905,106,0,0,04.12.2017 10:31,I,27.11.2017
8,35,675356,690500,163,675905,104,0,0,04.12.2017 10:31,I,27.11.2017
9,35,675360,690500,169,675905,98,0,0,04.12.2017 10:31,I,27.11.2017
10,35,675375,690500,173,675905,94,0,0,04.12.2017 10:31,I,27.11.2017
11,35,675844,690500,226,675905,41,0,0,04.12.2017 10:31,I,27.11.2017
12,36,675981,675905,55,677309,160,0,0,04.12.2017 10:31,I,27.11.2017
13,36,677262,675905,85,677309,130,0,0,04.12.2017 10:31,I,27.11.2017
14,36,677281,675905,109,677309,106,0,0,04.12.2017 10:31,I,27.11.2017
15,36,677313,675905,119,677309,96,0,0,04.12.2017 10:31,I,27.11.2017
16,36,677351,675905,143,677309,72,0,0,04.12.2017 10:31,I,27.11.2017
17,36,677370,675905,153,677309,62,0,0,04.12.2017 10:31,I,27.11.2017
18,36,677385,675905,162,677309,53,0,0,04.12.2017 10:31,I,27.11.2017
19,34,690322,690200,53,690500,30,0,0,04.12.2017 10:31,I,27.11.2017
20,34,690341,690200,60,690500,23,0,0,04.12.2017 10:31,I,27.11.2017
21,35,673384,690500,79,675905,188,0,0,04.12.2017 10:31,I,27.11.2017
22,35,673377,690500,84,675905,183,0,0,04.12.2017 10:31,I,27.11.2017
