Идентификатор,Код места проведения коммерческих операций,Условные обозначения проводимых коммерческих операций,Наименования коммерческих операций,Тип коррекции,Дата начала действия,Дата конца действия,Время обновления
1,1,П,Продажа билетов на все пассажирские поезда. Прием и  выдача багажа.,U,15.01.2019,31.12.9999,15.01.2019 00:01
2,1,Б,Продажа билетов на все пассажирские поезда. Прием и выдача багажа не производится.,U,15.01.2019,31.12.9999,15.01.2019 00:01
3,1,О,Посадка и высадка пассажиров на поезда пригородного и местного сообщения. Прием и выдача багажа не производится.,U,15.01.2019,31.12.9999,15.01.2019 00:01
4,1,1,"Прием и выдача грузов, допускаемых к хранению на открытых площадках мест общего пользования станций.",U,15.01.2019,31.12.9999,15.01.2019 00:01
5,1,2,Прием и выдача мелких отправок грузов на местах общего пользования станций.,U,15.01.2019,31.12.9999,15.01.2019 00:01
6,1,3,Прием и выдача грузов на подъездных путях (путях необщего пользования) и местах необщего пользования.,U,15.01.2019,31.12.9999,15.01.2019 00:01
7,1,4,"Прием и выдача груза, погруженного в вагон, требующего хранения в крытых складах станций.",U,15.01.2019,31.12.9999,15.01.2019 00:01
8,1,5,"Прием и выдача среднетоннажных контейнеров массой брутто 3,3 (5) и 5,5 (6) тонн на станциях.",U,15.01.2019,31.12.9999,15.01.2019 00:01
9,1,6,"Прием и выдача среднетоннажных контейнеров массой брутто 3,3 (5) и 5,5 (6) тонн на подъездных путях (путях необщего пользования).",U,15.01.2019,31.12.9999,15.01.2019 00:01
10,1,7,Зарезервировано.,U,15.01.2019,31.12.9999,15.01.2019 00:01
11,1,8,Прием и выдача крупнотоннажных 20 футовых контейнеров массой брутто до 24 тонн включительно на станциях.,U,15.01.2019,31.12.9999,15.01.2019 00:01
12,1,8н,Прием и выдача крупнотоннажных 20 футовых контейнеров массой брутто до 24 тонн включительно на подъездных путях (путях необщего пользования).,U,15.01.2019,31.12.9999,15.01.2019 00:01
13,1,9,Зарезервировано.,U,15.01.2019,31.12.9999,15.01.2019 00:01
14,1,10,"Прием и выдача крупнотоннажных 20, 30, 40, 45 - футовых контейнеров массой брутто до 30, 48 тонн включительно на станциях.",U,15.01.2019,31.12.9999,15.01.2019 00:01
15,1,10н,"Прием и выдача крупнотоннажных 10, 20, 30, 40, 45 – футовых контейнеров массой брутто до 30, 48 тонн включительно на подъездных путях (путях необщего пользования).",U,15.01.2019,31.12.9999,15.01.2019 00:01
16,1,Х,Грузовые и коммерческие операции не производятся.,U,15.01.2019,31.12.9999,15.01.2019 00:01
17,1,Г,"Прием и выдача грузобагажа предприятий, организаций и учреждений.",U,19.11.2024,31.12.9999,19.11.2024 10:03
18,1,М,"Продажа билетов в международном сообщении. (Только, для железных дорог Украины.)",U,15.01.2019,31.12.9999,15.01.2019 00:01
19,1,Т,"Производство таможенных операций с багажом и грузобагажом в международном сообщении. (Только, для железных дорог Украины.)",U,15.01.2019,31.12.9999,15.01.2019 00:01
