Идентификатор,Код станции,Код первого транзитного пункта,Расстояние до первого транзитного пункта (км),Код второго транзитного пункта,Расстояние до второго транзитного пункта (км),Код третьего транзитного пункта,Расстояние до третьего транзитного пункта (км),Код четвертого узловой станции,Расстояние до четвертого транзитного пункта (км),Тип коррекции,Дата начала действия,Время обновления
1,710507,690002,15,690200,6,0,0,0,0,U,16.04.2025,07.04.2025 14:37
2,660613,0,0,0,0,0,0,0,0,U,04.05.2018,16.05.2018 14:23
3,661103,0,0,0,0,0,0,0,0,U,20.09.2021,20.09.2021 08:01
4,662002,0,0,0,0,0,0,0,0,U,01.07.2011,30.06.2011 18:21
5,662411,0,0,0,0,0,0,0,0,U,15.05.2018,16.05.2018 14:23
6,662801,0,0,0,0,0,0,0,0,U,19.07.2019,19.07.2019 09:44
7,662905,0,0,0,0,0,0,0,0,I,01.12.2005,14.12.2005 12:44
8,663306,0,0,0,0,0,0,0,0,U,25.07.2019,25.07.2019 09:29
9,663503,0,0,0,0,0,0,0,0,I,01.12.2005,14.12.2005 12:44
10,663607,663306,71,664703,255,691607,52,0,0,U,25.07.2019,22.08.2019 15:12
11,663700,663306,114,664703,212,691607,95,0,0,U,25.07.2019,22.08.2019 07:30
12,663908,663306,179,664703,147,691607,160,0,0,U,08.11.2024,07.11.2024 12:40
13,663912,663306,201,664703,125,691607,182,0,0,U,25.07.2019,20.08.2019 06:45
14,663927,663306,223,664703,103,691607,204,0,0,U,25.07.2019,16.08.2019 12:55
15,664506,663306,242,664703,84,691607,223,0,0,U,25.07.2019,20.08.2019 08:31
16,664510,663306,263,664703,63,691607,244,0,0,U,25.07.2019,27.08.2019 08:52
17,664525,663306,284,664703,42,691607,265,0,0,U,25.07.2019,23.08.2019 12:02
18,664533,663306,302,664703,24,691607,283,0,0,U,25.07.2019,20.08.2019 07:11
19,664600,663306,322,664703,4,691607,303,0,0,U,25.07.2019,20.08.2019 09:58
20,664703,0,0,0,0,0,0,0,0,U,05.06.2013,05.06.2013 15:51
21,664900,0,0,0,0,0,0,0,0,U,01.07.2011,30.06.2011 19:22
22,665000,664900,12,666501,369,0,0,0,0,U,28.11.2012,29.11.2012 18:30
23,665015,0,0,0,0,0,0,0,0,U,15.05.2018,16.05.2018 14:23
24,665053,664900,23,666501,358,0,0,0,0,U,28.11.2012,29.11.2012 18:30
