Идентификатор,Код начального транзитного пункта,Код конечного транзитного пункта,"Транзитное расстояние от начального транзитного пункта до конечного транзитного пункта, (км)",Время обновления,Тип коррекции,Дата начала действия
1,670102,708009,1705,25.07.2019 13:02,I,25.07.2019
2,670102,709105,2057,25.07.2019 13:54,I,25.07.2019
3,670102,683102,1091,25.07.2019 13:43,I,25.07.2019
4,670102,690200,1316,25.07.2019 13:02,I,25.07.2019
5,670102,688708,1793,25.07.2019 13:02,I,25.07.2019
6,670102,713007,2220,25.07.2019 13:02,I,25.07.2019
7,670102,690002,1328,25.07.2019 13:02,I,25.07.2019
8,670102,713806,2208,25.07.2019 13:02,I,25.07.2019
9,670102,677309,1181,25.07.2019 13:02,I,25.07.2019
10,670102,704402,1294,25.07.2019 13:02,I,25.07.2019
11,670102,711302,2195,25.07.2019 13:02,I,25.07.2019
12,670102,691607,1141,15.11.2023 07:05,U,15.11.2023
13,670102,684001,1187,25.07.2019 13:02,I,25.07.2019
14,670102,673905,1087,25.07.2019 13:02,I,25.07.2019
15,670102,673007,1110,25.07.2019 13:02,I,25.07.2019
16,670102,682203,1353,25.07.2019 13:02,I,25.07.2019
17,670102,685803,1580,25.07.2019 13:02,I,25.07.2019
18,670102,675905,966,25.07.2019 13:02,I,25.07.2019
19,670102,709302,2071,25.07.2019 13:02,I,25.07.2019
20,670102,680000,1379,30.07.2019 07:38,U,25.07.2019
21,670102,693405,1443,25.07.2019 13:02,I,25.07.2019
22,670102,708507,2014,06.05.2021 09:42,U,06.05.2021
23,670102,704703,1417,25.07.2019 13:02,I,25.07.2019
24,670102,698004,895,25.07.2019 13:02,I,25.07.2019
25,685803,688708,553,23.07.2014 09:40,I,01.11.2012
26,685803,709105,1529,25.07.2019 13:54,I,25.07.2019
27,685803,713007,1692,25.07.2019 12:56,I,25.07.2019
28,685803,713806,1680,25.07.2019 09:40,I,25.07.2019
29,685803,709302,1421,24.07.2019 14:42,I,19.07.2019
30,685803,698004,2191,23.07.2014 09:40,I,01.11.2012
31,685803,693405,793,24.07.2019 14:13,I,19.07.2019
32,685803,711302,1545,14.08.2019 13:01,U,25.07.2019
33,685803,708009,1755,23.07.2014 09:40,I,01.11.2012
34,685803,708507,2064,06.05.2021 09:42,U,06.05.2021
35,685803,704402,1792,23.07.2014 09:40,I,01.11.2012
36,685803,704703,1669,23.07.2014 09:40,I,01.11.2012
37,685803,690200,666,23.07.2014 09:40,I,01.11.2012
38,685803,690002,654,23.07.2014 09:40,I,01.11.2012
39,711302,713806,250,25.07.2019 09:40,I,25.07.2019
40,711302,713007,238,25.07.2019 12:56,I,25.07.2019
41,662002,677309,2421,06.05.2021 09:28,U,06.05.2021
42,662002,691607,1187,15.11.2023 07:12,U,15.11.2023
43,662002,664703,1440,06.05.2021 09:28,U,06.05.2021
44,662002,709105,2994,06.05.2021 09:28,U,06.05.2021
45,662002,683102,1455,06.05.2021 09:28,U,06.05.2021
46,662002,670102,1240,06.05.2021 09:28,U,06.05.2021
47,662002,713007,3157,06.05.2021 09:28,U,06.05.2021
48,662002,713806,3145,06.05.2021 09:28,U,06.05.2021
49,662002,663306,1114,06.05.2021 09:28,U,06.05.2021
50,662002,673007,2337,06.05.2021 09:28,U,06.05.2021
51,662002,675905,2206,06.05.2021 09:28,U,06.05.2021
52,662002,709302,2886,06.05.2021 09:28,U,06.05.2021
53,662002,680000,1743,06.05.2021 09:28,U,06.05.2021
54,662002,698004,2135,06.05.2021 09:28,U,06.05.2021
55,662002,662905,789,06.05.2021 09:28,U,06.05.2021
56,662002,664900,1472,06.05.2021 09:28,U,06.05.2021
57,662002,693405,2258,06.05.2021 09:28,U,06.05.2021
58,662002,708507,3254,06.05.2021 09:28,U,06.05.2021
59,662002,711302,3010,06.05.2021 09:28,U,06.05.2021
60,662002,708009,2945,06.05.2021 09:28,U,06.05.2021
61,662002,666501,1091,06.05.2021 09:28,U,06.05.2021
62,662002,704402,2534,06.05.2021 09:28,U,06.05.2021
63,662002,673905,2327,06.05.2021 09:28,U,06.05.2021
64,662002,704703,2657,06.05.2021 09:28,U,06.05.2021
65,662002,682203,1717,06.05.2021 09:28,U,06.05.2021
66,662002,690200,2131,06.05.2021 09:28,U,06.05.2021
67,662002,690002,2119,06.05.2021 09:28,U,06.05.2021
68,662002,688708,2157,06.05.2021 09:28,U,06.05.2021
69,662002,685803,1944,06.05.2021 09:28,U,06.05.2021
70,662002,684001,1551,06.05.2021 09:28,U,06.05.2021
71,662905,677309,1924,14.08.2019 13:29,U,25.07.2019
72,662905,709105,2800,25.07.2019 13:54,I,25.07.2019
73,662905,683102,1424,25.07.2019 13:43,I,25.07.2019
74,662905,670102,743,25.07.2019 13:02,I,25.07.2019
75,662905,713007,2963,25.07.2019 12:56,I,25.07.2019
76,662905,713806,2951,25.07.2019 09:40,I,25.07.2019
77,662905,663306,483,25.07.2019 09:29,I,25.07.2019
78,662905,673007,1853,25.07.2019 09:12,I,25.07.2019
79,662905,675905,1709,24.07.2019 14:57,I,19.07.2019
80,662905,709302,2814,24.07.2019 14:42,I,19.07.2019
81,662905,680000,1712,24.07.2019 14:25,I,19.07.2019
82,662905,693405,2186,24.07.2019 14:13,I,19.07.2019
83,662905,698004,1638,14.08.2019 12:37,U,25.07.2019
84,662905,711302,2938,14.08.2019 13:22,U,25.07.2019
85,662905,708009,2448,14.08.2019 12:27,U,25.07.2019
86,662905,708507,2757,06.05.2021 09:42,U,06.05.2021
87,662905,666501,1060,23.07.2014 09:40,I,01.11.2012
88,662905,688708,2126,23.07.2014 09:40,I,01.11.2012
89,662905,664900,1441,23.07.2014 09:40,I,01.11.2012
90,662905,704402,2037,14.08.2019 13:26,U,25.07.2019
91,662905,673905,1830,14.08.2019 13:12,U,25.07.2019
92,662905,704703,2160,14.08.2019 12:39,U,25.07.2019
93,662905,682203,1686,23.07.2014 09:40,I,01.11.2012
94,662905,690200,2059,14.08.2019 13:35,U,25.07.2019
95,662905,690002,2071,14.08.2019 13:31,U,25.07.2019
96,662905,685803,1913,23.07.2014 09:40,I,01.11.2012
97,662905,684001,1520,23.07.2014 09:40,I,01.11.2012
98,662801,693405,2107,24.07.2019 14:13,I,19.07.2019
99,662801,709105,2721,25.07.2019 13:54,I,25.07.2019
100,662801,683102,1345,25.07.2019 13:43,I,25.07.2019
101,662801,670102,664,25.07.2019 13:02,I,25.07.2019
102,662801,713007,2884,25.07.2019 12:56,I,25.07.2019
103,662801,713806,2872,25.07.2019 09:40,I,25.07.2019
104,662801,663306,404,25.07.2019 09:29,I,25.07.2019
105,662801,673007,1774,25.07.2019 09:12,I,25.07.2019
106,662801,675905,1630,24.07.2019 14:57,I,19.07.2019
107,662801,709302,2735,24.07.2019 14:42,I,19.07.2019
108,662801,690200,1980,19.07.2019 09:44,I,19.07.2019
109,662801,664900,1362,19.07.2019 09:44,I,19.07.2019
110,662801,688708,2047,19.07.2019 09:44,I,19.07.2019
111,662801,662905,79,19.07.2019 09:44,I,19.07.2019
112,662801,690002,1992,19.07.2019 09:44,I,19.07.2019
113,662801,677309,1845,19.07.2019 09:44,I,19.07.2019
114,662801,704402,1958,19.07.2019 09:44,I,19.07.2019
115,662801,711302,2859,19.07.2019 09:44,I,19.07.2019
116,662801,691607,477,15.11.2023 06:45,U,15.11.2023
117,662801,684001,1441,19.07.2019 09:44,I,19.07.2019
118,662801,673905,1751,19.07.2019 09:44,I,19.07.2019
119,662801,666501,981,19.07.2019 09:44,I,19.07.2019
120,662801,682203,1607,19.07.2019 09:44,I,19.07.2019
121,662801,685803,1834,19.07.2019 09:44,I,19.07.2019
122,662801,708507,2678,06.05.2021 09:42,U,06.05.2021
123,662801,664703,730,19.07.2019 09:44,I,19.07.2019
124,662801,704703,2081,19.07.2019 09:44,I,19.07.2019
125,662801,698004,1559,19.07.2019 09:44,I,19.07.2019
126,662801,708009,2369,19.07.2019 09:44,I,19.07.2019
127,662801,680000,1633,24.07.2019 14:25,I,19.07.2019
128,691607,708507,3155,15.11.2023 06:48,U,15.11.2023
129,691607,709105,3198,15.11.2023 07:10,U,15.11.2023
130,691607,713007,3361,15.11.2023 07:03,U,15.11.2023
131,691607,713806,3349,15.11.2023 07:02,U,15.11.2023
132,691607,709302,3212,15.11.2023 06:51,U,15.11.2023
133,691607,664703,301,07.09.2023 09:32,U,08.09.2023
134,691607,664900,1839,15.11.2023 07:06,U,15.11.2023
135,691607,685803,2311,15.11.2023 06:53,U,15.11.2023
136,691607,690200,2457,15.11.2023 07:07,U,15.11.2023
137,691607,688708,2524,15.11.2023 07:04,U,15.11.2023
138,691607,662905,556,15.11.2023 07:03,U,15.11.2023
139,691607,677309,2322,15.11.2023 06:59,U,15.11.2023
140,691607,661103,777,15.11.2023 06:59,U,15.11.2023
141,691607,704402,2435,15.11.2023 07:08,U,15.11.2023
142,691607,711302,3336,15.11.2023 06:58,U,15.11.2023
143,691607,684001,1918,15.11.2023 06:57,U,15.11.2023
144,691607,673905,2228,15.11.2023 06:56,U,15.11.2023
145,691607,666501,1458,15.11.2023 06:54,U,15.11.2023
146,691607,682203,2084,15.11.2023 06:54,U,15.11.2023
147,691607,704703,2558,15.11.2023 06:46,U,15.11.2023
